"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"1","Response ID","How many people live in your household? (select 10 if there are more than 10) - Number of people","How many children under 18 live with you? (select 10 if more than 10) - Number of children","What are their ages? - Child 1","What are their ages? - Child 2","What are their ages? - Child 3","What are their ages? - Child 4","What are their ages? - Child 5","What are their ages? - Child 6","What are their ages? - Child 7","What are their ages? - Child 8","What are their ages? - Child 9","What are their ages? - Child 10","Do you identify as as senior?(65 years or older)","What was your family's total income last year?","Are you Hispanic or Latino, Latina, Latinx?","Which of the following best describes your race? (check all that apply) - White_Which of the following best describes your race? (check all that apply) - Black or African American_Which of the following best describes your race? (check all that apply) - American Indian or Alaska Native_Which of the following best describes your race? (check all that apply) - Asian_Which of the following best describes your race? (check all that apply) - Native Hawaiian or Pacific Islander_Which of the following best describes your race? (check all that apply) - Other","What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Email ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Text ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Mail ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Brochure ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Calendar ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Other:","Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Traditional Swim Lessons ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Lifeguard Programs ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Rec Lap Swim ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Rec Open Swim ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Water Fitness ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Water Polo ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Paddleboard Yoga ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Painting ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Drawing ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Jewelry Making ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Lettering ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Board Games ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - E-Games ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Card Games ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Chess ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Circuit training ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Boot camp ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Yoga ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Pilates ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Adult Ballet (or other dance) ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Other ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Basketball ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Volleyball ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Badminton ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Indoor soccer ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Pickleball ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Tennis ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following programs? (check all that apply) - Golf simulator ,Would you be interested in any of the following programs? (check all that apply) - Cooking classes ,Would you be interested in any of the following programs? (check all that apply) - Guided hikes ,Would you be interested in any of the following programs? (check all that apply) - Environmental habits (composting, home garden, bee-keeping) ,Would you be interested in any of the following programs? (check all that apply) - None of the above","How familiar are you with what services the recreation department provides?","How do you hear about recreation services? (check all that apply) - Selected Choice - Email,How do you hear about recreation services? (check all that apply) - Selected Choice - Text,How do you hear about recreation services? (check all that apply) - Selected Choice - Mail,How do you hear about recreation services? (check all that apply) - Selected Choice - Word of Mouth,How do you hear about recreation services? (check all that apply) - Selected Choice - Facebook,How do you hear about recreation services? (check all that apply) - Selected Choice - Through Community Involvement,How do you hear about recreation services? (check all that apply) - Selected Choice - I never hear about the programs,How do you hear about recreation services? (check all that apply) - Selected Choice - Other"
"2","{""ImportId"":""_recordId""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10"",""choiceId"":""1""}_{""ImportId"":""QID10"",""choiceId"":""2""}_{""ImportId"":""QID10"",""choiceId"":""3""}_{""ImportId"":""QID10"",""choiceId"":""4""}_{""ImportId"":""QID10"",""choiceId"":""5""}_{""ImportId"":""QID10"",""choiceId"":""6""}","{""ImportId"":""QID16"",""choiceId"":""1""} ,{""ImportId"":""QID16"",""choiceId"":""2""} ,{""ImportId"":""QID16"",""choiceId"":""3""} ,{""ImportId"":""QID16"",""choiceId"":""4""} ,{""ImportId"":""QID16"",""choiceId"":""5""} ,{""ImportId"":""QID16"",""choiceId"":""6""}","{""ImportId"":""QID39"",""choiceId"":""1""} ,{""ImportId"":""QID39"",""choiceId"":""2""} ,{""ImportId"":""QID39"",""choiceId"":""3""} ,{""ImportId"":""QID39"",""choiceId"":""4""} ,{""ImportId"":""QID39"",""choiceId"":""5""} ,{""ImportId"":""QID39"",""choiceId"":""6""} ,{""ImportId"":""QID39"",""choiceId"":""7""} ,{""ImportId"":""QID39"",""choiceId"":""8""} ,{""ImportId"":""QID39"",""choiceId"":""9""}","{""ImportId"":""QID40"",""choiceId"":""1""} ,{""ImportId"":""QID40"",""choiceId"":""2""} ,{""ImportId"":""QID40"",""choiceId"":""3""} ,{""ImportId"":""QID40"",""choiceId"":""4""} ,{""ImportId"":""QID40"",""choiceId"":""5""} ,{""ImportId"":""QID40"",""choiceId"":""6""}","{""ImportId"":""QID41"",""choiceId"":""1""} ,{""ImportId"":""QID41"",""choiceId"":""2""} ,{""ImportId"":""QID41"",""choiceId"":""3""} ,{""ImportId"":""QID41"",""choiceId"":""4""} ,{""ImportId"":""QID41"",""choiceId"":""5""} ,{""ImportId"":""QID41"",""choiceId"":""6""}","{""ImportId"":""QID42"",""choiceId"":""1""} ,{""ImportId"":""QID42"",""choiceId"":""2""} ,{""ImportId"":""QID42"",""choiceId"":""3""} ,{""ImportId"":""QID42"",""choiceId"":""4""} ,{""ImportId"":""QID42"",""choiceId"":""5""} ,{""ImportId"":""QID42"",""choiceId"":""6""} ,{""ImportId"":""QID42"",""choiceId"":""7""}","{""ImportId"":""QID43"",""choiceId"":""1""} ,{""ImportId"":""QID43"",""choiceId"":""2""} ,{""ImportId"":""QID43"",""choiceId"":""3""} ,{""ImportId"":""QID43"",""choiceId"":""4""} ,{""ImportId"":""QID43"",""choiceId"":""5""} ,{""ImportId"":""QID43"",""choiceId"":""6""} ,{""ImportId"":""QID43"",""choiceId"":""7""} ,{""ImportId"":""QID43"",""choiceId"":""8""}","{""ImportId"":""QID44"",""choiceId"":""1""} ,{""ImportId"":""QID44"",""choiceId"":""2""} ,{""ImportId"":""QID44"",""choiceId"":""3""} ,{""ImportId"":""QID44"",""choiceId"":""4""} ,{""ImportId"":""QID44"",""choiceId"":""5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15"",""choiceId"":""1""},{""ImportId"":""QID15"",""choiceId"":""2""},{""ImportId"":""QID15"",""choiceId"":""3""},{""ImportId"":""QID15"",""choiceId"":""4""},{""ImportId"":""QID15"",""choiceId"":""5""},{""ImportId"":""QID15"",""choiceId"":""6""},{""ImportId"":""QID15"",""choiceId"":""7""},{""ImportId"":""QID15"",""choiceId"":""8""}"
"3","R_3Hw5YoyhmYoHUk9","5","3","9","16","11",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","","Email","Traditional Swim Lessons ,Rec Open Swim","Painting ,Jewelry Making","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates","Volleyball ,Tennis","Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Word of Mouth,Facebook,Through Community Involvement"
"4","R_XGvW7NOp27cv6Lf","4","2","7","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Other:","Traditional Swim Lessons ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering ,Other:","None of the above","Yoga ,Adult Ballet (or other dance)","","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"5","R_2ciM8BJsIW8SLUx","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Brochure","None of the above","Jewelry Making","Board Games","Circuit training","None of the above","Cooking classes ,Guided hikes","Slightly familiar","Facebook"
"6","R_3R9Eo8tXwzTBckh","6","4","5","9","9","11","4","4",NA,NA,NA,NA,"No","35,000-44,999","No","Other","Email","Traditional Swim Lessons","Painting","Board Games","Boot camp ,Yoga ,Pilates","Basketball ,Volleyball","Cooking classes","Extremely familiar","Facebook"
"7","R_2e25HLziSsb8itT","6","2","14","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","White","Brochure","Rec Open Swim ,Paddleboard Yoga","","","Adult Ballet (or other dance)","","","Not familiar at all","I never hear about the programs"
"8","R_2ebeYSW7eS3b65I","4","2","9","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Mail ,Brochure","Traditional Swim Lessons","Painting","None of the above","Yoga","None of the above","None of the above","Slightly familiar","Email,Facebook"
"9","R_2coxfxgC488trM7","3","1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Traditional Swim Lessons ,Water Fitness","Painting ,Jewelry Making","Board Games ,Card Games","None of the above","Volleyball ,Badminton","Cooking classes","Moderately familiar","Facebook"
"10","R_3QEKrMYtWFRUvgo","4","2","9","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","Painting ,Drawing","Board Games","Yoga","","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Facebook"
"11","R_3kcaSCUFV5AEEoH","4","2","2","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness ,Other:","Painting ,Jewelry Making","None of the above","Yoga ,Pilates","None of the above","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Facebook"
"12","R_2eQhGmgC5LevPP3","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email ,Calendar","Rec Open Swim ,Water Fitness","Painting ,Jewelry Making","Board Games","Yoga ,Pilates","None of the above","Cooking classes","Slightly familiar","Facebook,Other"
"13","R_3h5ZfrrAuprvbPd","5","3","13","11","9",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Brochure","Traditional Swim Lessons","None of the above","None of the above","Circuit training ,Boot camp","Basketball ,Volleyball ,Pickleball","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth,Facebook"
"14","R_Os4JOhhWk1VZISB","6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Other:","Board Games ,E-Games ,Card Games ,Chess","Circuit training","Basketball ,Volleyball ,Pickleball","Golf simulator ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Mail,Facebook,Through Community Involvement"
"15","R_3Jhqy9AL7sP6Zyl","5","3","2","5","9",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Brochure","Traditional Swim Lessons","Painting ,Lettering","Card Games","Yoga","","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook"
"16","R_OfAMEaJ9ZkYQKKR","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","Yes","White","Email ,Text ,Mail ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga","Basketball ,Volleyball ,Indoor soccer ,Other:","Golf simulator ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Text,Mail,Word of Mouth,Facebook,Through Community Involvement"
"17","R_WwU4OseN6XfXdqV","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","Asian","Email ,Text ,Mail","Traditional Swim Lessons","Painting ,Drawing ,Lettering","None of the above","None of the above","None of the above","None of the above","Slightly familiar","Word of Mouth"
"18","R_1eY4xiAEBF29L0E","4","2","9",NA,NA,NA,NA,NA,NA,"0",NA,NA,"No","Less than 26,000","No","White","Email ,Text ,Mail","Rec Open Swim","Painting","Board Games ,E-Games","None of the above","Basketball","None of the above","Slightly familiar","Email,Text,Facebook"
"19","R_1NybnWXBdYkH1hL","6","4","16","14","11","16",NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Brochure","Traditional Swim Lessons ,Rec Open Swim","Painting ,Jewelry Making","Card Games","Yoga ,Pilates ,Adult Ballet (or other dance)","Volleyball ,Indoor soccer","Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Other"
"20","R_1E4fItfd9LqkFUH","4","1","14",NA,NA,NA,NA,NA,NA,"0",NA,NA,"No","65,000-103,999","No","White","Mail ,Brochure","Rec Open Swim ,Water Fitness","Painting","Board Games ,E-Games ,Card Games","Circuit training ,Yoga ,Pilates","Volleyball","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook"
"21","R_2a9sLijxrJxPnGY","4","2","2","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","Yes","Black or African American","Email ,Text ,Mail","Traditional Swim Lessons ,Lifeguard Programs ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting ,Drawing","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Badminton ,Indoor soccer","Cooking classes ,Guided hikes","Not familiar at all","Word of Mouth,Facebook"
"22","R_2dYkgS3PRS48MLl","3","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","White","Text","Rec Open Swim","Painting","Board Games","Boot camp","Basketball ,Volleyball","Golf simulator ,Cooking classes","Moderately familiar","Word of Mouth,Facebook"
"23","R_3KMBXPoPMLiR5v5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","35,000-44,999","No","White","Email ,Text ,Mail","Paddleboard Yoga","None of the above","None of the above","Circuit training ,Yoga","None of the above","Guided hikes","Extremely familiar","Email,Text,Mail,Facebook"
"24","R_2t9AtDnvITGIk6n","5","3","11","14","16",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Brochure","Lifeguard Programs ,Rec Lap Swim ,Paddleboard Yoga","Jewelry Making","None of the above","Boot camp ,Yoga ,Pilates","Pickleball ,Tennis","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Word of Mouth,Facebook"
"25","R_1gpXNkJXCQji7Xk","4","2","2","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","None of the above","Board Games","Adult Ballet (or other dance)","Indoor soccer ,Pickleball","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth,Facebook"
"26","R_32MkyliTR2YMwDO","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email ,Mail ,Brochure","None of the above","None of the above","Other:","Yoga","Volleyball","None of the above","Moderately familiar","Email,Mail"
"27","R_3iR6egcliHX862E","5","1","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Calendar","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","None of the above","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Adult Ballet (or other dance)","Basketball ,Indoor soccer","Golf simulator ,Cooking classes","Extremely familiar","Email,Mail,Word of Mouth,Facebook,Through Community Involvement"
"28","R_3rSVrjVYIj4IDtt","4","2","16","13",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Mail ,Calendar ,Other:","Rec Lap Swim ,Rec Open Swim ,Water Fitness","Other:","Board Games","Boot camp ,Other","Pickleball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Word of Mouth,Facebook"
"29","R_3h552DD1igM72zT","10","6","9","5","4","2","0","0",NA,NA,NA,NA,"No","Less than 26,000","No","White","Text ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making","Board Games ,E-Games","Circuit training","Basketball ,Indoor soccer","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook,Through Community Involvement"
"30","R_plvF87FYhwUYpK9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","None of the above","None of the above","Yoga","Basketball ,Volleyball","None of the above","Slightly familiar","Email,Word of Mouth,Facebook"
"31","R_3KI0EsPqA6SHEjF","4","2","9","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games","Yoga ,Adult Ballet (or other dance)","Volleyball ,Indoor soccer","Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Facebook"
"32","R_2AFDRCuB0K1fcMw","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","No","White","Email ,Brochure","None of the above","Painting ,Jewelry Making ,Lettering","Board Games ,Card Games","None of the above","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Tennis","Cooking classes","Extremely familiar","Facebook"
"33","R_3wrWvN2Mya33yHD","4","2","7","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Mail ,Brochure","Rec Open Swim","Painting ,Jewelry Making","Board Games","Circuit training ,Boot camp ,Yoga ,Adult Ballet (or other dance)","Volleyball ,Badminton","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Mail,Facebook,Through Community Involvement"
"34","R_2wn9aZKqmeesCtr","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail","Rec Lap Swim","Painting ,Drawing","","Yoga","Badminton","Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Word of Mouth,Facebook"
"35","R_1FQzRL271rrJaJK","4","2","9","2",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Lettering","None of the above","Yoga ,Pilates","None of the above","Guided hikes","Very familiar","Email,Facebook,Through Community Involvement"
"36","R_1jiU05dY2JY41id","2","1","11",NA,NA,NA,"0",NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email","None of the above","Painting ,Drawing","Board Games","None of the above","Basketball ,Badminton ,Tennis","Golf simulator ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email"
"37","R_55Z9LwEsinT2Bk5","3","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Lettering","None of the above","Circuit training ,Boot camp ,Yoga","Volleyball ,Pickleball ,Tennis","Golf simulator","Slightly familiar","Word of Mouth,Facebook"
"38","R_2QMuOGPXpoM4Ve5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","104,000-115,999","No","White","Email ,Text ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Lap Swim ,Water Fitness","Painting","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Pickleball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"39","R_3sjUw51U1mXFZeN","5","3","4","2","0",NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Brochure ,Calendar","Traditional Swim Lessons","None of the above","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Pickleball","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook,Other"
"40","R_1H0ieZp7JMKvsAc","4","2","13","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Open Swim","Painting","None of the above","None of the above","None of the above","Golf simulator ,Cooking classes","Moderately familiar","Email,Mail,Word of Mouth,Facebook,Through Community Involvement"
"41","R_2SlzKcqStmMv1NU","4","2","16","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Brochure ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","None of the above","None of the above","Circuit training ,Boot camp ,Yoga","Tennis","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Facebook"
"42","R_3NL0YQaPc23FWPf","2","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email ,Text ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Open Swim","Painting ,Drawing","Board Games ,E-Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball","None of the above","Very familiar","Email,Text,Mail,Word of Mouth,Facebook,Through Community Involvement"
"43","R_1ewR5LklncWqep6","4","2","16","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Lifeguard Programs ,Rec Lap Swim","Jewelry Making","Board Games ,Card Games","Circuit training ,Yoga","","Golf simulator ,Guided hikes","Slightly familiar","Mail,Word of Mouth,Facebook"
"44","R_3Q00nF55jHhoBJ1","4","2","13","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Text ,Brochure","Rec Lap Swim ,Rec Open Swim","Painting ,Drawing ,Jewelry Making","Board Games","None of the above","Basketball ,Indoor soccer","Cooking classes","Very familiar","Email,Facebook"
"45","R_8dfjDI3cM5uq6Nb","4","2","13","13",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Rec Lap Swim ,Rec Open Swim ,Water Fitness","None of the above","None of the above","Boot camp ,Adult Ballet (or other dance)","Badminton ,Tennis","Golf simulator ,Guided hikes","Extremely familiar","Email,Facebook"
"46","R_27jrXyQk3v97r9z","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Lettering","","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","","Guided hikes","Extremely familiar","Other"
"47","R_pgwtFKcwYXRYAfL","4","2","11","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","Yes","White","Email ,Text","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Jewelry Making","None of the above","None of the above","None of the above","Cooking classes","Moderately familiar","Email,Mail,Facebook"
"48","R_1liNYd8hP6oXfrn","5","3","16","14","13",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Other:","Painting ,Jewelry Making","","Boot camp","Badminton","Cooking classes","Very familiar","Facebook"
"49","R_1LSiEWHSseEbeyh","4","2","11","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Paddleboard Yoga","Painting ,Drawing","Board Games ,E-Games ,Card Games ,Chess","Circuit training ,Yoga","Badminton ,Indoor soccer ,Pickleball ,Tennis","Golf simulator ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Word of Mouth,Facebook,Through Community Involvement"
"50","R_293PW6LGSMz2dU5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Rec Lap Swim ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Chess","Yoga ,Pilates ,Adult Ballet (or other dance)","Pickleball ,Tennis","Environmental habits (composting, home garden, bee-keeping)","Very familiar","Facebook,Through Community Involvement"
"51","R_5sVyERxC21slzuF","4","2","11","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Text","Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","None of the above","Circuit training ,Adult Ballet (or other dance)","Basketball","Cooking classes","Slightly familiar","Facebook"
"52","R_2e3ZbnRtF0LjkIL","4","2","13","16",NA,NA,"0",NA,"0",NA,NA,NA,"No","65,000-103,999","No","Other","Email ,Brochure","Traditional Swim Lessons","Painting","","Yoga","Pickleball","Golf simulator ,Cooking classes ,Guided hikes","Moderately familiar","Through Community Involvement"
"53","R_2v30XFc9QWqGPqr","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Brochure","Lifeguard Programs ,Rec Open Swim ,Paddleboard Yoga","Painting","","Circuit training ,Yoga ,Pilates","Pickleball ,Tennis","Golf simulator ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Word of Mouth,Facebook,Through Community Involvement,Other"
