"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"652","R_2SuWm3Ey9wOwpvT","4","2","7","5",NA,NA,NA,NA,NA,"13",NA,NA,"No","More than 115,999","No","White","Email ,Other:","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Pickleball ,Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth,Facebook"
"653","R_3n26OTB9UmCFI0D","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Calendar","Water Fitness","None of the above","None of the above","Boot camp ,Yoga","Basketball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Through Community Involvement"
"654","R_3efskWBznC3QL7N","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","Yes","White","Calendar","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","None of the above","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates ,Other","None of the above","None of the above","Not familiar at all","I never hear about the programs"
"655","R_cUYa6mrt94TnpS1","3","2","18","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Water Fitness","None of the above","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga","Volleyball","None of the above","Slightly familiar","Facebook"
"656","R_Q5GHTm5bn6FKvm1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White_Other","Email ,Text ,Calendar ,Other:","","Painting ,Drawing ,Jewelry Making","Board Games ,Card Games","Yoga ,Pilates ,Adult Ballet (or other dance) ,Other","Volleyball ,Tennis ,Other:","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Other"
"657","R_2Ybq2Z1vxq7tFNB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","45,000-64,999","No","White","Calendar ,Other:","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Other:","Other:","None of the above","Other","None of the above","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Other"
"658","R_r6doORT0RZwmoh3","5","3","2","7","11",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","","Traditional Swim Lessons ,Rec Open Swim","None of the above","Board Games ,Chess","Circuit training ,Boot camp ,Pilates","","Cooking classes ,Guided hikes","Moderately familiar","Email,Word of Mouth"
"659","R_1OBJUpSHpzkn5SY","3","5","5","5","4","7","7",NA,NA,NA,NA,NA,"No","Less than 26,000","No","Black or African American","Email","Paddleboard Yoga","Jewelry Making","Card Games","Yoga","Basketball","","Very familiar","Facebook"
"660","R_1NCYqB2wGyErNRA","2","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","Yes","White_Black or African American_American Indian or Alaska Native_Other","Email","Traditional Swim Lessons ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Indoor soccer ,Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Through Community Involvement"
"661","R_3KIXcmOIGmqD0Ch","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Paddleboard Yoga","Painting","Board Games ,E-Games ,Card Games","Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Indoor soccer","Cooking classes","Slightly familiar","Word of Mouth"
"662","R_6oswb0ealpTvuCJ","10","3","2","4","5",NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim","Painting ,Drawing","Board Games ,E-Games","Boot camp ,Yoga","Basketball ,Volleyball","Guided hikes","Slightly familiar","Facebook"
"663","R_3dKSI50v0YluTFW","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email","Rec Open Swim ,Paddleboard Yoga","Jewelry Making","None of the above","Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","None of the above","None of the above","Not familiar at all","Facebook"
